conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
MAP_SOURCE_TYPE:56,"Source: Survey Directorate G.H.Q.; Imagery Type: Levant 1: 200,000 Map; Mission/Image Details: NI-37-XV; Date: March 1942",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:57,"Source: Survey Directorate G.H.Q.; Imagery Type: Levant 1: 200,000 Map; Mission/Image Details: NI-37-XVI; Date: March 1942",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:58,"Source: Unknown; Imagery Type: Arabic Edition 1: 50,000 Map; Mission/Image Details: Al-Nasriya; Date: 1965",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:59,"Source: Unknown; Imagery Type: Arabic Edition 1: 50,000 Map; Mission/Image Details: Banias; Date: 1943",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:60,"Source: Unknown; Imagery Type: Arabic Edition 1: 50,000 Map; Mission/Image Details: Djeble; Date: 1961",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:61,"Source: Unknown; Imagery Type: Arabic Edition 1: 50,000 Map; Mission/Image Details: El Ordou; Date: 1958",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:62,"Source: Unknown; Imagery Type: Arabic Edition 1: 50,000 Map; Mission/Image Details: El-Hamdaniyat; Date: 1958",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:63,"Source: Unknown; Imagery Type: Arabic Edition 1: 50,000 Map; Mission/Image Details: Haffé; Date: 1959",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:64,"Source: Unknown; Imagery Type: Arabic Edition 1: 50,000 Map; Mission/Image Details: Hamîdyé; Date: 1964",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:65,"Source: Unknown; Imagery Type: Arabic Edition 1: 50,000 Map; Mission/Image Details: Hassiya; Date: 1965",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:66,"Source: Unknown; Imagery Type: Arabic Edition 1: 50,000 Map; Mission/Image Details: Idlib; Date: 1962",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:67,"Source: Unknown; Imagery Type: Arabic Edition 1: 50,000 Map; Mission/Image Details: Jarjanaz; Date: 1962",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:68,"Source: Unknown; Imagery Type: Arabic Edition 1: 50,000 Map; Mission/Image Details: Jisr Ech Chorhour; Date: 1959",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:69,"Source: Unknown; Imagery Type: Arabic Edition 1: 50,000 Map; Mission/Image Details: Kessab; Date: 1959",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:70,"Source: Unknown; Imagery Type: Arabic Edition 1: 50,000 Map; Mission/Image Details: Khan Abu Shamaat; Date: 1961",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:71,"Source: Unknown; Imagery Type: Arabic Edition 1: 50,000 Map; Mission/Image Details: Khan Cheikoun; Date: 1964",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:72,"Source: Unknown; Imagery Type: Arabic Edition 1: 50,000 Map; Mission/Image Details: Lattaquie; Date: 1961",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:73,"Source: Unknown; Imagery Type: Arabic Edition 1: 50,000 Map; Mission/Image Details: Maarret Enn Naamane; Date: 1959",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:74,"Source: Unknown; Imagery Type: Arabic Edition 1: 50,000 Map; Mission/Image Details: Qadmous; Date: 1961",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:75,"Source: Unknown; Imagery Type: Arabic Edition 1: 50,000 Map; Mission/Image Details: Qalaat el Hosn; Date: 1958",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:76,"Source: Unknown; Imagery Type: Arabic Edition 1: 50,000 Map; Mission/Image Details: Qerdaha; Date: 1962",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:77,"Source: Unknown; Imagery Type: Arabic Edition 1: 50,000 Map; Mission/Image Details: Qnaitra; Date: 1967",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:78,"Source: Unknown; Imagery Type: Arabic Edition 1: 50,000 Map; Mission/Image Details: Rastane-Mecherfeh; Date: 1959",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:79,"Source: Unknown; Imagery Type: Arabic Edition 1: 50,000 Map; Mission/Image Details: Rayan; Date: 1961",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:80,"Source: Unknown; Imagery Type: Arabic Edition 1: 50,000 Map; Mission/Image Details: Rhab Nord; Date: 1961",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:81,"Source: Unknown; Imagery Type: Arabic Edition 1: 50,000 Map; Mission/Image Details: Safita; Date: 1963",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:82,"Source: Unknown; Imagery Type: Arabic Edition 1: 50,000 Map; Mission/Image Details: Sfire; Date: 1961",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:83,Source: USGS; Imagery Type: Corona; Mission/Image Details: 1116; Date: 1972,,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:84,Source: USGS; Imagery Type: KH7; Mission/Image Details:; Date: 1966,,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:85,Source: USGS; Imagery Type: Landsat ETM+ Scene; Mission/Image Details: L51730351984211AAA04; Date: 05/03/2011,,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:86,Source: USGS; Imagery Type: Landsat ETM+ Scene; Mission/Image Details: L51730351984211AAA04; Date: 05/04/2005,,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:87,Source: USGS; Imagery Type: Landsat ETM+ Scene; Mission/Image Details: L51730351984211AAA04; Date: 31/07/2001,,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:88,Source: USGS; Imagery Type: Landsat MSS Scene; Mission/Image Details: L51730351984211AAA04; Date: 00/10/1987,,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:89,Source: USGS; Imagery Type: Landsat MSS Scene; Mission/Image Details: L51730351984211AAA04; Date: 03/12/1975,,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:90,Source: USGS; Imagery Type: Landsat OLI Scene; Mission/Image Details: LC51730351984211AAA04; Date: 27/07/2014,,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:91,Source: USGS; Imagery Type: Landsat TM Scene; Mission/Image Details: L51730351984211AAA04; Date: 25/07/1990,,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:92,"Source: USGS; Imagery Type: Shuttle Radar Topography Mission; Mission/Image Details: 3 Arc Second scenes, Unfilled Unfinished 2.0; Date: 00/02/2000",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:93,Source: USGS/Fragile Crescent Project; Imagery Type: Corona; Mission/Image Details: 1107; Date: 1969,,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:94,Source: USGS/Fragile Crescent Project; Imagery Type: Corona; Mission/Image Details: 1110; Date: 1970,,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
