Id,Label,mergenode,businesstable
41,KEYWORD_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE.E18,strings
42,HERITAGE_RESOURCE_TYPE.E55,PRODUCTION.E12,domains
43,DESIGNATION_OR_PROTECTION_TO_DATE.E49,RIGHT.E30,dates
44,PLACE_SITE_LOCATION.E53,PLACE.E53,
45,TYPE_OF_DESIGNATION_OR_PROTECTION.E55,RIGHT.E30,domains
46,KEYWORD.E55,HERITAGE_RESOURCE.E18,domains
49,MATERIAL.E57,PRODUCTION.E12,domains
50,PLACE_CADASTRAL_REFERENCE.E53,PLACE.E53,
51,RIGHT.E30,HERITAGE_RESOURCE.E18,
53,TIME_SPAN_OF_DESIGNATION_OR_PROTECTION.E52,RIGHT.E30,
54,EXTERNAL_XREF.E42,HERITAGE_RESOURCE.E18,strings
58,CONDITION_AUTHORITY_DOCUMENT.E32,CONDITION_ASSESSMENT.E14,strings
61,CULTURAL_PERIOD.E55,PRODUCTION.E12,domains
63,MEASUREMENT_TYPE_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE.E18,strings
64,TO_DATE.E49,PRODUCTION.E12,dates
65,CONSTRUCTION_TECHNIQUE_AUTHORITY_DOCUMENT.E32,PRODUCTION.E12,strings
66,FROM_DATE.E49,PRODUCTION.E12,dates
67,PLACE_THIS_LAND_PARCEL.E53,PLACE.E53,
69,HERITAGE_RESOURCE.E18,HERITAGE_RESOURCE.E18,
71,PLACE.E53,HERITAGE_RESOURCE.E18,
72,PLACE_APPELLATION_CADASTRAL_REFERENCE.E44,PLACE.E53,strings
74,NAME_TYPE_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE.E18,strings
76,PROTECTION_EVENT.E65,RIGHT.E30,
77,EXTERNAL_RESOURCE.E1,HERITAGE_RESOURCE.E18,
78,ADMINISTRATIVE_SUBDIVISION_TYPE.E55,PLACE.E53,domains
79,ADMINISTRATIVE_SUBDIVISION_TYPE_AUTHORITY_DOCUMENT.E32,PLACE.E53,strings
91,COMPONENT.E18,PRODUCTION.E12,
92,COMPONENT_PRODUCTION.E12,PRODUCTION.E12,
93,EVALUATION_CRITERIA_ASSIGNMENT.E13,HERITAGE_RESOURCE.E18,
94,EVALUATION_CRITERIA_TYPE.E55,HERITAGE_RESOURCE.E18,domains
95,INTEGRITY_TYPE.E55,HERITAGE_RESOURCE.E18,domains
96,INTEGRITY_TYPE_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE.E18,strings
99,HERITAGE_RESOURCE_USE_TYPE.E55,PRODUCTION.E12,domains
100,USE_TYPE_AUTHORITY_DOCUMENT.E32,PRODUCTION.E12,strings
103,ANCILLARY_FEATURE_TYPE.E55,PRODUCTION.E12,domains
104,ANCILLARY_FEATURE_AUTHORITY_DOCUMENT.E32,PRODUCTION.E12,strings
105,DESCRIPTION.E62,HERITAGE_RESOURCE.E18,strings
106,RESOURCE_TYPE_CLASSIFICATION.E55,HERITAGE_RESOURCE.E18,domains
107,RESOURCE_CLASSIFICATION_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE.E18,strings
110,DISTURBANCE_TYPE.E55,CONDITION_ASSESSMENT.E14,domains
111,THREAT_TYPE.E55,CONDITION_ASSESSMENT.E14,domains
112,MANAGEMENT_RECOMMENDATION.E89,CONDITION_ASSESSMENT.E14,
113,RECOMMENDATION_TYPE.E55,CONDITION_ASSESSMENT.E14,domains
114,RECOMMENDATION_TYPE_AUTHORITY_DOCUMENT.E32,CONDITION_ASSESSMENT.E14,strings
115,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.E32,CONDITION_ASSESSMENT.E14,strings
116,THREAT_TYPE_AUTHORITY_DOCUMENT.E32,CONDITION_ASSESSMENT.E14,strings
117,DESCRIPTION_TYPE.E55,HERITAGE_RESOURCE.E18,domains
118,DESCRIPTION_TYPE_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE.E18,strings
119,STYLE.E55,PRODUCTION.E12,domains
121,STYLE_AUTHORITY_DOCUMENT.E32,PRODUCTION.E12,strings
122,EVALUATION_CRITERIA_TYPE_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE.E18,strings
123,REASONS.E62,HERITAGE_RESOURCE.E18,strings
124,STATUS.E55,HERITAGE_RESOURCE.E18,domains
127,STATUS_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE.E18,strings
130,ELIGIBILITY_REQUIREMENT_TYPE.E55,HERITAGE_RESOURCE.E18,domains
131,ELIGIBILITY_REQUIREMENT_TYPE_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE.E18,strings
138,SETTING_TYPE.E55,PLACE.E53,domains
139,SETTING_TYPE_AUTHORITY_DOCUMENT.E32,PLACE.E53,strings
140,ADDRESS_TYPE.E55,PLACE.E53,domains
141,ADDRESS_TYPE_AUTHORITY_DOCUMENT.E32,PLACE.E53,strings
142,CONDITION_DESCRIPTION.E62,CONDITION_ASSESSMENT.E14,strings
150,MODIFICATION_EVENT.E11,HERITAGE_RESOURCE.E18,
151,MODIFICATION_TYPE.E55,HERITAGE_RESOURCE.E18,domains
152,MODIFICATION_TYPE_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE.E18,strings
153,MODIFICATION_DESCRIPTION.E62,HERITAGE_RESOURCE.E18,strings
154,BEGINNING_OF_EXISTENCE.E63,HERITAGE_RESOURCE.E18,
155,END_OF_EXISTENCE.E64,HERITAGE_RESOURCE.E18,
156,BEGINNING_OF_EXISTENCE_TYPE.E55,HERITAGE_RESOURCE.E18,domains
157,BEGINNING_OF_EXISTENCE_TYPE_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE.E18,strings
158,BEGINNING_OF_EXISTENCE_TIME-SPAN.E52,HERITAGE_RESOURCE.E18,
159,START_DATE_OF_EXISTENCE.E49,HERITAGE_RESOURCE.E18,dates
160,END_OF_EXISTENCE_TYPE.E55,HERITAGE_RESOURCE.E18,domains
161,END_OF_EXISTENCE_TYPE_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE.E18,strings
162,END_OF_EXISTENCE_TIME-SPAN.E52,HERITAGE_RESOURCE.E18,
165,END_DATE_OF_EXISTENCE.E49,HERITAGE_RESOURCE.E18,dates
166,CONDITION_IMAGE_FILE_PATH.E62,CONDITION_ASSESSMENT.E14,files
167,CONDITION_IMAGE.E73,CONDITION_ASSESSMENT.E14,
169,CONDITION_IMAGE_THUMBNAIL.E62,CONDITION_ASSESSMENT.E14,files
170,PERIOD_OF_SIGNIFICANCE.E49,HERITAGE_RESOURCE.E18,
171,PERIOD_OF_SIGNIFICANCE_TO_DATE.E49,HERITAGE_RESOURCE.E18,dates
172,PERIOD_OF_SIGNIFICANCE_FROM_DATE.E49,HERITAGE_RESOURCE.E18,dates
173,DATE_EVALUATED.E49,HERITAGE_RESOURCE.E18,dates
174,DISTURBANCE_DATE_START.E49,CONDITION_ASSESSMENT.E14,dates
175,DISTURBANCE_DATE_END.E49,CONDITION_ASSESSMENT.E14,dates
176,DISTURBANCE_EXTENT_TYPE_AUTHORITY_DOCUMENT.E32,CONDITION_ASSESSMENT.E14,strings
177,DISTURBANCE_EXTENT_TYPE.E55,CONDITION_ASSESSMENT.E14,domains
178,DISTURBANCE_CAUSE_TYPE.E55,CONDITION_ASSESSMENT.E14,domains
179,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.E32,CONDITION_ASSESSMENT.E14,strings
180,DISTURBANCE_CAUSE_CERTAINTY_TYPE.E55,CONDITION_ASSESSMENT.E14,domains
181,DISTURBANCE_CAUSE_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.E32,CONDITION_ASSESSMENT.E14,strings
182,DISTURBANCE_EFFECT_TYPE.E55,CONDITION_ASSESSMENT.E14,domains
183,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.E32,CONDITION_ASSESSMENT.E14,strings
184,DISTURBANCE_EFFECT_CERTAINTY_TYPE.E55,CONDITION_ASSESSMENT.E14,domains
185,DISTURBANCE_EFFECT_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.E32,CONDITION_ASSESSMENT.E14,strings
186,THREAT_CERTAINTY_TYPE.E55,CONDITION_ASSESSMENT.E14,domains
187,THREAT_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.E32,CONDITION_ASSESSMENT.E14,strings
188,SITE_OVERALL_ARCHAEOLOGICAL_CERTAINTY_TYPE.E55,HERITAGE_RESOURCE.E18,domains
189,SITE_OVERALL_ARCHAEOLOGICAL_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE.E18,strings
190,SITE_MORPHOLOGY_TYPE.E55,HERITAGE_RESOURCE.E18,domains
191,SITE_MORPHOLOGY_TYPE_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE.E18,strings
192,SITE_OVERALL_SHAPE_TYPE.E55,HERITAGE_RESOURCE.E18,domains
193,SITE_OVERALL_SHAPE_TYPE_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE.E18,strings
194,FEATURE_EVIDENCE_TYPE.E55,PRODUCTION.E12,domains
195,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.E32,PRODUCTION.E12,strings
196,FEATURE_EVIDENCE_NUMBER_TYPE.E55,PRODUCTION.E12,domains
197,FEATURE_EVIDENCE_NUMBER_TYPE_AUTHORITY_DOCUMENT.E32,PRODUCTION.E12,strings
198,FEATURE_EVIDENCE_SHAPE_TYPE.E55,PRODUCTION.E12,domains
199,FEATURE_EVIDENCE_SHAPE_TYPE_AUTHORITY_DOCUMENT.E32,PRODUCTION.E12,strings
199,FEATURE_EVIDENCE_SHAPE_TYPE_AUTHORITY_DOCUMENT.E32,PRODUCTION.E12,strings
200,FEATURE_EVIDENCE_TYPE_CERTAINTY_TYPE.E55,PRODUCTION.E12,domains
201,FEATURE_EVIDENCE_TYPE_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.E32,PRODUCTION.E12,strings
202,FEATURE_EVIDENCE_ARRANGEMENT_TYPE.E55,PRODUCTION.E12,domains
203,FEATURE_EVIDENCE_ARRANGEMENT_TYPE_AUTHORITY_DOCUMENT.E55,PRODUCTION.E12,strings
204,FEATURE_EVIDENCE_INTERPRETATION_TYPE.E55,PRODUCTION.E12,domains
205,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.E32,PRODUCTION.E12,strings
206,FEATURE_EVIDENCE_INTERPRETATION_CERTAINTY_TYPE.E55,PRODUCTION.E12,domains
207,FEATURE_EVIDENCE_INTERPRETATION_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.E32,PRODUCTION.E12,strings
208,SITE_FUNCTION_TYPE.E55,HERITAGE_RESOURCE.E18,domains
209,SITE_FUNCTION_TYPE_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE.E18,strings
210,SITE_FUNCTION_CERTAINTY_TYPE.E55,HERITAGE_RESOURCE.E18,domains
211,SITE_FUNCTION_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE.E18,strings
212,ADDITIONAL_INFORMATION.E55,HERITAGE_RESOURCE.E18,domains
213,ADDITIONAL_INFORMATION_TYPE_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE.E18,strings
214,SITE_LOCATION_CERTAINTY_TYPE.E55,PLACE.E53,domains
215,SITE_LOCATION_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.E32,PLACE.E53,strings
216,MEASUREMENT_CERTAINTY.E55,HERITAGE_RESOURCE.E18,domains
217,MEASUREMENT_CERTAINTY_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE.E18,strings
218,GRIDSQUARE.E42,PLACE.E53,domains
219,GRIDSQUARE_AUTHORITY_DOCUMENT.E32,PLACE.E53,strings
220,PLACE_TOPOGRAPHY_TYPE.E55,PLACE.E53,domains
221,PLACE_TOPOGRAPHY_TYPE_AUTHORITY_DOCUMENT.E32,PLACE.E53,strings
222,SITE_SIZE_CERTAINTY_TYPE.E55,HERITAGE_RESOURCE.E18,domains
223,SITE_SIZE_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE.E18,strings
224,THREAT_EFFECT_CERTAINTY_TYPE.E55,CONDITION_ASSESSMENT.E14,domains
225,THREAT_EFFECT_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.E32,CONDITION_ASSESSMENT.E14,strings
226,THREAT_EFFECT_TYPE.E55,CONDITION_ASSESSMENT.E14,domains
227,THREAT_EFFECT_TYPE_AUTHORITY_DOCUMENT.E32,CONDITION_ASSESSMENT.E14,strings
228,FEATURE_EVIDENCE_ASSIGNMENT.E17,PRODUCTION.E12,
